localizacion,rango,year,poblacion,porcentaje,variacionAnual
Les Corts,de 40-59,2013,21680,26.56,-0.841566045
Les Corts,de 60-79,2013,19135,23.44,1.109643329
Les Corts,más de 80,2013,6128,7.51,2.269692924
Sarrià-Sant Gervasi,de 0 a 20,2013,30060,20.69,0.179964007
Sarrià-Sant Gervasi,de 20-39,2013,36015,24.79,-1.794235541
Sarrià-Sant Gervasi,de 40-59,2013,39900,27.47,1.012658228
Sarrià-Sant Gervasi,de 60-79,2013,28012,19.28,-0.12479053
Sarrià-Sant Gervasi,más de 80,2013,11279,7.76,1.021047918
Gràcia,de 0 a 20,2013,18144,15,0.431750249
Gràcia,de 20-39,2013,37385,30.91,-3.465282619
Gràcia,de 40-59,2013,32464,26.84,0.672930815
Gràcia,de 60-79,2013,23572,19.49,-0.144031179
Gràcia,más de 80,2013,9384,7.76,1.120689655
Horta-Guinardó,de 0 a 20,2013,27017,16.11,-0.734834846
Horta-Guinardó,de 20-39,2013,44756,26.68,-3.572198044
Horta-Guinardó,de 40-59,2013,46701,27.84,0.979501816
Horta-Guinardó,de 60-79,2013,36412,21.71,-0.836079414
Horta-Guinardó,más de 80,2013,12857,7.66,2.781996962
Nou Barris,de 0 a 20,2013,28229,17.03,-0.367063142
Nou Barris,de 20-39,2013,44851,27.06,-4.328071672
Nou Barris,de 40-59,2013,44804,27.03,0.959935103
Nou Barris,de 60-79,2013,35373,21.34,-1.272712049
Nou Barris,más de 80,2013,12491,7.54,4.100341695
Sant Andreu,de 0 a 20,2013,25194,17.16,0.214797136
Sant Andreu,de 20-39,2013,40791,27.78,-3.555975884
Sant Andreu,de 40-59,2013,41658,28.37,0.839969984
Sant Andreu,de 60-79,2013,29473,20.07,0.604178045
Sant Andreu,más de 80,2013,9730,6.63,3.389650409
Sant Martí,de 0 a 20,2013,40118,17.23,0.347682533
Sant Martí,de 20-39,2013,66165,28.42,-2.752873394
Sant Martí,de 40-59,2013,67301,28.91,1.635506962
Sant Martí,de 60-79,2013,43933,18.87,0.207563524
Sant Martí,más de 80,2013,15309,6.58,3.383306321
Barcelona,de 0 a 20,2013,262818,16.31,-0.289852873
Barcelona,de 20-39,2013,470036,29.16,-2.742050289
Barcelona,de 40-59,2013,446789,27.72,0.782959411
Barcelona,de 60-79,2013,314580,19.52,-0.281802649
Barcelona,más de 80,2013,117599,7.3,2.00631473
Ciutat Vella,de 0 a 20,2012,14718,14.09,1.133786848
Ciutat Vella,de 20-39,2012,42941,41.11,1.040024471
Ciutat Vella,de 40-59,2012,27050,25.9,2.454359518
Ciutat Vella,de 60-79,2012,13996,13.4,-1.858214711
Ciutat Vella,más de 80,2012,5737,5.49,-1.898084815
Eixample,de 0 a 20,2012,38219,14.38,0.676992782
Eixample,de 20-39,2012,80884,30.43,0.229246955
Eixample,de 40-59,2012,72894,27.42,0.987794572
Eixample,de 60-79,2012,51518,19.38,-0.089209526
Eixample,más de 80,2012,22313,8.39,1.09646142
Sants-Montjuïc,de 0 a 20,2012,28692,15.59,0.571348452
Sants-Montjuïc,de 20-39,2012,58009,31.51,0.259250938
Sants-Montjuïc,de 40-59,2012,51608,28.04,1.536584886
Sants-Montjuïc,de 60-79,2012,33691,18.3,-0.54610934
Sants-Montjuïc,más de 80,2012,12072,6.56,2.950707829
Les Corts,de 0 a 20,2012,13212,16.03,1.016897316
Les Corts,de 20-39,2012,22427,27.21,-2.372453422
Les Corts,de 40-59,2012,21864,26.53,-0.15982465
Les Corts,de 60-79,2012,18925,22.96,1.420150054
Les Corts,más de 80,2012,5992,7.27,2.849296258
Sarrià-Sant Gervasi,de 0 a 20,2012,30006,20.64,1.467604491
Sarrià-Sant Gervasi,de 20-39,2012,36673,25.22,-1.622941145
Sarrià-Sant Gervasi,de 40-59,2012,39500,27.17,1.448530923
Sarrià-Sant Gervasi,de 60-79,2012,28047,19.29,0.700129255
Sarrià-Sant Gervasi,más de 80,2012,11165,7.68,2.281055332
Gràcia,de 0 a 20,2012,18066,14.82,0.848498381
Gràcia,de 20-39,2012,38727,31.76,-0.735633362
Gràcia,de 40-59,2012,32247,26.45,1.122644172
Gràcia,de 60-79,2012,23606,19.36,0.186741363
Gràcia,más de 80,2012,9280,7.61,1.298984827
Horta-Guinardó,de 0 a 20,2012,27217,16.09,0.191422787
Horta-Guinardó,de 20-39,2012,46414,27.45,-3.19728033
Horta-Guinardó,de 40-59,2012,46248,27.35,1.134947189
Horta-Guinardó,de 60-79,2012,36719,21.71,-1.018950319
Horta-Guinardó,más de 80,2012,12509,7.4,4.607793945
Nou Barris,de 0 a 20,2012,28333,16.92,0.972915182
Nou Barris,de 20-39,2012,46880,28,-2.710330801
Nou Barris,de 40-59,2012,44378,26.51,1.980880596
Nou Barris,de 60-79,2012,35829,21.4,-1.433287483
Nou Barris,más de 80,2012,11999,7.17,4.112798265
Sant Andreu,de 0 a 20,2012,25140,17.05,0.842358604
Sant Andreu,de 20-39,2012,42295,28.68,-2.774585077
Sant Andreu,de 40-59,2012,41311,28.02,1.302108877
Sant Andreu,de 60-79,2012,29296,19.87,0.63204177
Sant Andreu,más de 80,2012,9411,6.38,4.034932567
Sant Martí,de 0 a 20,2012,39979,17.17,1.823599827
Sant Martí,de 20-39,2012,68038,29.22,-1.182245977
Sant Martí,de 40-59,2012,66218,28.43,1.768945856
Sant Martí,de 60-79,2012,43842,18.83,0.198834419
Sant Martí,más de 80,2012,14808,6.36,4.127698474
Barcelona,de 0 a 20,2012,263582,16.26,0.978825945
Barcelona,de 20-39,2012,483288,29.82,-1.129277753
Barcelona,de 40-59,2012,443318,27.35,1.393329765
Barcelona,de 60-79,2012,315469,19.46,-0.196147288
Barcelona,más de 80,2012,115286,7.11,2.660777574
Ciutat Vella,de 0 a 20,2011,14553,14.05,1.344011142
Ciutat Vella,de 20-39,2011,42499,41.04,-2.166206262
Ciutat Vella,de 40-59,2011,26402,25.49,1.013888358
Ciutat Vella,de 60-79,2011,14261,13.77,-2.933569289
Ciutat Vella,más de 80,2011,5848,5.65,-0.510377679
Eixample,de 0 a 20,2011,37962,14.35,-0.594412003
Eixample,de 20-39,2011,80699,30.51,-1.53254835
Eixample,de 40-59,2011,72181,27.29,0.308509012
Eixample,de 60-79,2011,51564,19.5,-0.777401478
Eixample,más de 80,2011,22071,8.35,1.64410058
Sants-Montjuïc,de 0 a 20,2011,28529,15.61,0.433007111
Sants-Montjuïc,de 20-39,2011,57859,31.65,-1.4511761
Sants-Montjuïc,de 40-59,2011,50827,27.8,0.983469761
Sants-Montjuïc,de 60-79,2011,33876,18.53,-1.025506179
Sants-Montjuïc,más de 80,2011,11726,6.41,4.342409681
Les Corts,de 0 a 20,2011,13079,15.87,0.130148522
Les Corts,de 20-39,2011,22972,27.87,-2.159376464
Les Corts,de 40-59,2011,21899,26.56,-1.168878058
