localizacion,rango,year,poblacion,porcentaje
Gràcia,de 20-39,2011,39014,32.1
Gràcia,de 40-59,2011,31889,26.24
Gràcia,de 60-79,2011,23562,19.39
Gràcia,más de 80,2011,9161,7.54
Horta-Guinardó Total,total,2011,169896,
Horta-Guinardó,de 0 a 20,2011,27165,15.99
Horta-Guinardó,de 20-39,2011,47947,28.22
Horta-Guinardó,de 40-59,2011,45729,26.92
Horta-Guinardó,de 60-79,2011,37097,21.84
Horta-Guinardó,más de 80,2011,11958,7.04
Nou Barris Total,total,2011,167637,
Nou Barris,de 0 a 20,2011,28060,16.74
Nou Barris,de 20-39,2011,48186,28.74
Nou Barris,de 40-59,2011,43516,25.96
Nou Barris,de 60-79,2011,36350,21.68
Nou Barris,más de 80,2011,11525,6.87
Sant Andreu Total,total,2011,147370,
Sant Andreu,de 0 a 20,2011,24930,16.92
Sant Andreu,de 20-39,2011,43502,29.52
Sant Andreu,de 40-59,2011,40780,27.67
Sant Andreu,de 60-79,2011,29112,19.75
Sant Andreu,más de 80,2011,9046,6.14
Sant Martí Total,total,2011,231158,
Sant Martí,de 0 a 20,2011,39263,16.99
Sant Martí,de 20-39,2011,68852,29.79
Sant Martí,de 40-59,2011,65067,28.15
Sant Martí,de 60-79,2011,43755,18.93
Sant Martí,más de 80,2011,14221,6.15
Barcelona Total,total,2011,1615448,
Barcelona,de 0 a 20,2011,261027,16.16
Barcelona,de 20-39,2011,488808,30.26
Barcelona,de 40-59,2011,437226,27.07
Barcelona,de 60-79,2011,316089,19.57
Barcelona,más de 80,2011,112298,6.95
Ciutat Vella Total,total,2010,104507,
Ciutat Vella,de 0 a 20,2010,14360,13.74
Ciutat Vella,de 20-39,2010,43440,41.57
Ciutat Vella,de 40-59,2010,26137,25.01
Ciutat Vella,de 60-79,2010,14692,14.06
Ciutat Vella,más de 80,2010,5878,5.62
Eixample Total,total,2010,265785,
Eixample,de 0 a 20,2010,38189,14.37
Eixample,de 20-39,2010,81955,30.84
Eixample,de 40-59,2010,71959,27.07
Eixample,de 60-79,2010,51968,19.55
Eixample,más de 80,2010,21714,8.17
Sants-Montjuïc Total,total,2010,182914,
Sants-Montjuïc,de 0 a 20,2010,28406,15.53
Sants-Montjuïc,de 20-39,2010,58711,32.1
Sants-Montjuïc,de 40-59,2010,50332,27.52
Sants-Montjuïc,de 60-79,2010,34227,18.71
Sants-Montjuïc,más de 80,2010,11238,6.14
Les Corts Total,total,2010,82883,
Les Corts,de 0 a 20,2010,13062,15.76
Les Corts,de 20-39,2010,23479,28.33
Les Corts,de 40-59,2010,22158,26.73
Les Corts,de 60-79,2010,18546,22.38
Les Corts,más de 80,2010,5638,6.8
Sarrià-Sant Gervasi Total,total,2010,144537,
Sarrià-Sant Gervasi,de 0 a 20,2010,29328,20.29
Sarrià-Sant Gervasi,de 20-39,2010,38128,26.38
Sarrià-Sant Gervasi,de 40-59,2010,38661,26.75
Sarrià-Sant Gervasi,de 60-79,2010,27763,19.21
Sarrià-Sant Gervasi,más de 80,2010,10657,7.37
Gràcia Total,total,2010,122990,
Gràcia,de 0 a 20,2010,17944,14.59
Gràcia,de 20-39,2010,40255,32.73
Gràcia,de 40-59,2010,32083,26.09
Gràcia,de 60-79,2010,23641,19.22
Gràcia,más de 80,2010,9067,7.37
Horta-Guinardó Total,total,2010,170795,
Horta-Guinardó,de 0 a 20,2010,27013,15.82
Horta-Guinardó,de 20-39,2010,49510,28.99
Horta-Guinardó,de 40-59,2010,45242,26.49
Horta-Guinardó,de 60-79,2010,37572,22
Horta-Guinardó,más de 80,2010,11458,6.71
Nou Barris Total,total,2010,167949,
Nou Barris,de 0 a 20,2010,27849,16.58
Nou Barris,de 20-39,2010,49550,29.5
Nou Barris,de 40-59,2010,42728,25.44
Nou Barris,de 60-79,2010,36998,22.03
Nou Barris,más de 80,2010,10824,6.44
Sant Andreu Total,total,2010,146844,
Sant Andreu,de 0 a 20,2010,24556,16.72
Sant Andreu,de 20-39,2010,44324,30.18
Sant Andreu,de 40-59,2010,40345,27.47
Sant Andreu,de 60-79,2010,28955,19.72
Sant Andreu,más de 80,2010,8664,5.9
Sant Martí Total,total,2010,230133,
Sant Martí,de 0 a 20,2010,38763,16.84
Sant Martí,de 20-39,2010,69685,30.28
Sant Martí,de 40-59,2010,64058,27.84
Sant Martí,de 60-79,2010,44040,19.14
Sant Martí,más de 80,2010,13587,5.9
Barcelona Total,total,2010,1619337,
Barcelona,de 0 a 20,2010,259470,16.02
Barcelona,de 20-39,2010,499037,30.82
Barcelona,de 40-59,2010,433703,26.78
Barcelona,de 60-79,2010,318402,19.66
Barcelona,más de 80,2010,108725,6.71
Ciutat Vella Total,total,2009,107426,
Ciutat Vella,de 0 a 20,2009,14228,13.24
Ciutat Vella,de 20-39,2009,45854,42.68
Ciutat Vella,de 40-59,2009,26193,24.38
Ciutat Vella,de 60-79,2009,15207,14.16
Ciutat Vella,más de 80,2009,5944,5.53
Eixample Total,total,2009,266874,
Eixample,de 0 a 20,2009,37967,14.23
Eixample,de 20-39,2009,83111,31.14
Eixample,de 40-59,2009,72118,27.02
Eixample,de 60-79,2009,52208,19.56
Eixample,más de 80,2009,21470,8.04
Sants-Montjuïc Total,total,2009,182395,
Sants-Montjuïc,de 0 a 20,2009,28113,15.41
Sants-Montjuïc,de 20-39,2009,59190,32.45
Sants-Montjuïc,de 40-59,2009,49788,27.3
Sants-Montjuïc,de 60-79,2009,34430,18.88
Sants-Montjuïc,más de 80,2009,10874,5.96
Les Corts Total,total,2009,82952,
Les Corts,de 0 a 20,2009,13062,15.75
Les Corts,de 20-39,2009,23699,28.57
Les Corts,de 40-59,2009,22496,27.12
Les Corts,de 60-79,2009,18291,22.05
Les Corts,más de 80,2009,5404,6.51
Sarrià-Sant Gervasi Total,total,2009,143911,
Sarrià-Sant Gervasi,de 0 a 20,2009,28951,20.12
Sarrià-Sant Gervasi,de 20-39,2009,38389,26.68
Sarrià-Sant Gervasi,de 40-59,2009,38333,26.64
Sarrià-Sant Gervasi,de 60-79,2009,27751,19.28
Sarrià-Sant Gervasi,más de 80,2009,10487,7.29
Gràcia Total,total,2009,123383,
Gràcia,de 0 a 20,2009,17866,14.48
Gràcia,de 20-39,2009,40566,32.88
Gràcia,de 40-59,2009,32235,26.13
Gràcia,de 60-79,2009,23661,19.18
Gràcia,más de 80,2009,9055,7.34
Horta-Guinardó Total,total,2009,171186,
Horta-Guinardó,de 0 a 20,2009,26925,15.73
Horta-Guinardó,de 20-39,2009,50314,29.39
Horta-Guinardó,de 40-59,2009,45088,26.34
Horta-Guinardó,de 60-79,2009,37743,22.05
Horta-Guinardó,más de 80,2009,11116,6.49
Nou Barris Total,total,2009,168181,
Nou Barris,de 0 a 20,2009,27551,16.38
Nou Barris,de 20-39,2009,50968,30.31
Nou Barris,de 40-59,2009,42061,25.01
Nou Barris,de 60-79,2009,37281,22.17
Nou Barris,más de 80,2009,10320,6.14
Sant Andreu Total,total,2009,146528,
Sant Andreu,de 0 a 20,2009,24200,16.52
Sant Andreu,de 20-39,2009,45100,30.78
Sant Andreu,de 40-59,2009,40116,27.38
Sant Andreu,de 60-79,2009,28746,19.62
Sant Andreu,más de 80,2009,8366,5.71
Sant Martí Total,total,2009,228701,
Sant Martí,de 0 a 20,2009,38288,16.74
Sant Martí,de 20-39,2009,69981,30.6
Sant Martí,de 40-59,2009,63435,27.74
Sant Martí,de 60-79,2009,43883,19.19
Sant Martí,más de 80,2009,13114,5.73
Barcelona Total,total,2009,1621537,
Barcelona,de 0 a 20,2009,257151,15.86
Barcelona,de 20-39,2009,507172,31.28
Barcelona,de 40-59,2009,431863,26.63
Barcelona,de 60-79,2009,319201,19.69
Barcelona,más de 80,2009,106150,6.55
Ciutat Vella Total,total,2008,111636,
Ciutat Vella,de 0 a 20,2008,14258,12.77
Ciutat Vella,de 20-39,2008,48921,43.82
Ciutat Vella,de 40-59,2008,26816,24.02
Ciutat Vella,de 60-79,2008,15655,14.02
Ciutat Vella,más de 80,2008,5986,5.36
Eixample Total,total,2008,265866,
Eixample,de 0 a 20,2008,38135,14.34
Eixample,de 20-39,2008,82347,30.97
Eixample,de 40-59,2008,71962,27.07
Eixample,de 60-79,2008,52213,19.64
Eixample,más de 80,2008,21209,7.98
Sants-Montjuïc Total,total,2008,181432,
Sants-Montjuïc,de 0 a 20,2008,28021,15.44
Sants-Montjuïc,de 20-39,2008,58931,32.48
Sants-Montjuïc,de 40-59,2008,49373,27.21
Sants-Montjuïc,de 60-79,2008,34543,19.04
Sants-Montjuïc,más de 80,2008,10564,5.82
Les Corts Total,total,2008,82489,
Les Corts,de 0 a 20,2008,13203,16.01
Les Corts,de 20-39,2008,23157,28.07
Les Corts,de 40-59,2008,22858,27.71
Les Corts,de 60-79,2008,18031,21.86
Les Corts,más de 80,2008,5240,6.35
Sarrià-Sant Gervasi Total,total,2008,142665,
Sarrià-Sant Gervasi,de 0 a 20,2008,28769,20.17
Sarrià-Sant Gervasi,de 20-39,2008,38051,26.67
Sarrià-Sant Gervasi,de 40-59,2008,38087,26.7
Sarrià-Sant Gervasi,de 60-79,2008,27569,19.32
Sarrià-Sant Gervasi,más de 80,2008,10189,7.14
Gràcia Total,total,2008,122088,
Gràcia,de 0 a 20,2008,17625,14.44
Gràcia,de 20-39,2008,39720,32.53
Gràcia,de 40-59,2008,32013,26.22
Gràcia,de 60-79,2008,23771,19.47
Gràcia,más de 80,2008,8959,7.34
Horta-Guinardó Total,total,2008,170427,
Horta-Guinardó,de 0 a 20,2008,26737,15.69
Horta-Guinardó,de 20-39,2008,50405,29.58
Horta-Guinardó,de 40-59,2008,44988,26.4
Horta-Guinardó,de 60-79,2008,37677,22.11
Horta-Guinardó,más de 80,2008,10620,6.23
Nou Barris Total,total,2008,167433,
Nou Barris,de 0 a 20,2008,27108,16.19
Nou Barris,de 20-39,2008,51211,30.59
Nou Barris,de 40-59,2008,41751,24.94
Nou Barris,de 60-79,2008,37476,22.38
Nou Barris,más de 80,2008,9887,5.91
Sant Andreu Total,total,2008,145443,
Sant Andreu,de 0 a 20,2008,23911,16.44
Sant Andreu,de 20-39,2008,45057,30.98
Sant Andreu,de 40-59,2008,40017,27.51
Sant Andreu,de 60-79,2008,28329,19.48
Sant Andreu,más de 80,2008,8129,5.59
Sant Martí Total,total,2008,226429,
Sant Martí,de 0 a 20,2008,37782,16.69
Sant Martí,de 20-39,2008,69654,30.76
Sant Martí,de 40-59,2008,62666,27.68
Sant Martí,de 60-79,2008,43716,19.31
Sant Martí,más de 80,2008,12611,5.57
Barcelona Total,total,2008,1615908,
Barcelona,de 0 a 20,2008,255549,15.81
Barcelona,de 20-39,2008,507454,31.4
